Name,Current_Location,Age,Past_Travel_Destinations,Number_of_Trips,Flight_Number,Departure_City,Arrival_City,Flight_Date
Stephen Walker,Honolulu,20,"Orlando, Miami, Phoenix, Chicago",4,T6387,Honolulu,Orlando,19/05/2024
,,,,,B8212,Honolulu,Miami,02/05/2023
,,,,,I7809,Honolulu,Phoenix,20/02/2024
,,,,,U3713,Honolulu,Chicago,04/09/2022
Colton Fisher,Richmond,64,"San Diego, Houston",2,K7844,Richmond,San Diego,24/11/2022
,,,,,Y7549,Richmond,Houston,01/12/2022
Aimee Alexander,St. Petersburg,60,"Bratislava, Geneva",2,M5530,St. Petersburg,Bratislava,28/01/2024
,,,,,H9252,St. Petersburg,Geneva,10/05/2023
Jacob Peterson,Munich,57,Rome,1,Q7369,Munich,Rome,26/10/2022
Rachel Mosley,San Jose,60,"Savannah, Santa Fe, Sedona",3,M2750,San Jose,Savannah,17/05/2023
,,,,,N5855,San Jose,Santa Fe,11/07/2023
,,,,,T6282,San Jose,Sedona,10/09/2022
Angela Cooper,Barcelona,27,"Zurich, Seville, Moscow, Valencia, Edinburgh",5,I3395,Barcelona,Zurich,28/08/2022
,,,,,M2590,Barcelona,Seville,19/03/2024
,,,,,T2174,Barcelona,Moscow,23/12/2023
,,,,,A3991,Barcelona,Valencia,28/02/2024
,,,,,V3735,Barcelona,Edinburgh,06/05/2024
Traci Potter,New York,43,"Savannah, San Jose, New Orleans, Tampa",4,X4351,New York,Savannah,10/07/2023
,,,,,O7887,New York,San Jose,13/01/2023
,,,,,C3426,New York,New Orleans,09/12/2023
,,,,,W4955,New York,Tampa,10/08/2023
Erica Vargas,Marseille,62,"Florence, Milan, Edinburgh, Amsterdam",4,W4747,Marseille,Florence,14/07/2023
,,,,,G3313,Marseille,Milan,13/06/2024
,,,,,O8623,Marseille,Edinburgh,19/04/2024
,,,,,G1283,Marseille,Amsterdam,09/11/2022
Brian Stone,Salt Lake City,49,"Dallas, Las Vegas, Baltimore, San Diego, Scottsdale",5,T9776,Salt Lake City,Dallas,11/12/2022
,,,,,M1127,Salt Lake City,Las Vegas,15/10/2023
,,,,,Y7546,Salt Lake City,Baltimore,14/03/2023
,,,,,V4427,Salt Lake City,San Diego,02/12/2023
,,,,,W4892,Salt Lake City,Scottsdale,03/06/2024
Henry Roberts,Munich,43,"St. Louis, Prague, Edinburgh",3,O1359,Munich,St. Louis,18/11/2023
,,,,,D3150,Munich,Prague,09/08/2024
,,,,,J5308,Munich,Edinburgh,29/01/2023
Anthony Smith,Helsinki,38,Prague,1,F9467,Helsinki,Prague,21/03/2024
Matthew Warren,Oklahoma City,60,"Savannah, Atlanta, Cincinnati, Fort Lauderdale, Los Angeles",5,W6737,Oklahoma City,Savannah,21/01/2023
,,,,,J2285,Oklahoma City,Atlanta,13/06/2024
,,,,,T8650,Oklahoma City,Cincinnati,23/12/2023
,,,,,L7223,Oklahoma City,Fort Lauderdale,16/06/2023
,,,,,X5209,Oklahoma City,Los Angeles,11/07/2024
Steven Powers,Providence,42,Los Angeles,1,U3396,Providence,Los Angeles,19/05/2024
Leslie Delgado,Washington,53,"Richmond, Houston, Atlanta, Warsaw",4,T9194,Washington,Richmond,08/09/2022
,,,,,D6618,Washington,Houston,07/05/2023
,,,,,I3905,Washington,Atlanta,26/10/2022
,,,,,N6031,Washington,Warsaw,05/03/2024
Angela Diaz,Savannah,75,"Boston, Nice, Sacramento, St. Louis",4,F8357,Savannah,Boston,19/07/2024
,,,,,N9843,Savannah,Nice,20/12/2022
,,,,,S9250,Savannah,Sacramento,08/11/2022
,,,,,W2459,Savannah,St. Louis,05/01/2024
Derrick Sparks,Baltimore,64,Valencia,1,K8043,Baltimore,Valencia,03/06/2023
Marc Alexander,Venice,19,"Warsaw, Brussels, Oslo, St. Petersburg",4,G2409,Venice,Warsaw,02/10/2022
,,,,,Q1009,Venice,Brussels,13/10/2023
,,,,,H3054,Venice,Oslo,20/03/2024
,,,,,V7942,Venice,St. Petersburg,03/06/2023
Paul Wagner,Barcelona,50,"Geneva, Malaga, Rome, Gothenburg, Geneva",5,B7891,Barcelona,Geneva,19/09/2023
,,,,,W4661,Barcelona,Malaga,09/01/2023
,,,,,B7714,Barcelona,Rome,14/12/2022
,,,,,L8215,Barcelona,Gothenburg,19/11/2022
,,,,,Y5945,Barcelona,Geneva,05/12/2023
Jeffrey Smith,Istanbul,41,"Krakow, Bordeaux",2,J5269,Istanbul,Krakow,21/12/2022
